record_ID,units_sold
212645,55.829113
212646,26.122849
212647,9.364573
212648,24.109047
212649,31.790487
212653,35.654232
212654,37.85665
212657,19.427362
212658,3.6518488
212661,160.78252
212662,112.47308
212663,53.596695
212666,75.21232
212667,88.771805
212668,121.02362
212671,57.194588
212672,98.03552
212673,57.616764
212674,298.60345
212675,25.142555
212676,18.434826
212677,74.8104
212678,54.860764
212679,48.470818
212681,37.873734
212682,54.57834
212683,31.743156
212686,92.52092
212687,86.837036
212688,26.74208
212689,6.051672
212691,30.18509
212692,46.08927
212693,68.94673
212694,49.006485
212695,51.251667
212696,52.506104
212697,81.01154
212698,38.766075
212699,211.96164
212700,24.671926
212701,12.485731
212702,39.186142
212703,33.5448
212704,31.011059
212705,37.997513
212706,35.954174
212707,59.69968
212709,9.727277
212710,26.729923
212711,44.08133
212712,39.41061
212713,36.654278
212716,27.931644
212717,51.626377
212718,15.451739
212719,20.127707
212721,80.183815
212722,24.673382
212723,138.32962
212724,19.135975
212725,13.75885
212727,31.526768
212728,41.80228
212729,35.084896
212731,32.326935
212732,46.250443
212734,3.754725
212735,1.4163543
212736,13.031482
212737,243.98409
212738,235.3438
212739,61.12588
212740,22.598637
212742,90.64661
212743,117.82937
212744,209.71988
212748,197.76215
212749,95.42387
212750,487.9895
212751,36.207745
212752,28.607899
212754,120.07613
212755,76.46312
212756,90.97654
212757,53.423134
212758,54.652782
212759,87.56147
212760,13.232888
212761,65.99066
212763,14.340292
212764,106.21157
212765,84.65138
212767,45.00523
212768,46.71785
212769,69.18124
212772,41.768326
212773,64.060265
212774,32.959633
212775,171.25128
212776,15.229843
212777,7.6300073
212778,49.683
212779,38.089
212782,44.681454
212783,48.03054
212787,165.23927
212788,117.47824
212789,61.889145
212790,8.158382
212792,97.61487
212793,104.07879
212794,123.963974
212796,123.36517
212797,170.1554
212798,261.77313
212799,30.4379
212800,20.855581
212802,91.964806
212803,61.29892
212805,57.591766
212806,65.96235
212807,83.29467
212809,34.470688
212812,45.473644
212816,14.03155
212817,31.929771
212818,35.815475
212819,16.612123
212820,19.602102
212821,40.64949
212822,69.50258
212823,24.91638
212824,154.37552
212825,20.337797
212826,19.254354
212828,36.92107
212829,42.60668
212830,32.194817
212831,25.451332
212832,40.08406
212833,38.32227
212834,37.3626
212835,28.050222
212837,7.8660727
212838,25.09894
212839,25.726303
212840,27.568602
212843,58.095837
212844,14.32975
212845,145.87294
212846,11.775848
212849,8.17815
212850,21.318476
212853,23.981945
212856,48.52888
212857,29.726744
212860,32.259163
212861,53.032413
212862,60.08916
212863,22.053997
212866,118.30851
212867,53.682144
212868,213.79416
212869,47.336155
212870,31.13356
212872,58.45541
212873,52.168427
212874,44.77299
212875,36.751354
212876,46.210686
212877,43.542225
212879,25.151407
212880,52.196518
212881,36.102287
212884,7.153744
212885,31.839216
212886,29.29826
212888,8.267052
212889,44.358074
212890,17.2559
212891,149.99704
212892,19.438656
212893,20.046335
212896,35.679672
212899,0.9413302
212900,8.300957
212901,28.120365
212902,33.47409
212903,10.466758
212905,44.77589
212906,12.902996
212907,65.55417
212910,23.17016
212911,15.693435
212914,20.33476
212915,88.021454
212916,71.52592
212917,42.754288
212919,50.690956
212920,56.04472
212921,79.99212
212924,75.03336
212925,46.04486
212926,227.3074
212927,18.762272
212929,54.113743
212930,61.12298
212931,16.014832
212932,62.005085
212933,66.88368
212934,63.034763
212935,15.736706
212936,67.08582
212937,49.70973
212938,30.075214
212940,30.71785
212941,30.388111
212942,45.857693
212946,61.96632
212947,41.337482
212948,168.56381
212949,46.46196
212950,36.6862
212951,16.762985
212952,43.593845
212954,45.999493
212955,38.672256
212956,35.314846
212959,28.60215
212960,54.197163
212964,76.5158
212965,28.29712
212966,175.76721
212967,34.333168
212968,14.261905
212969,36.232853
212970,50.759716
212971,32.887913
212973,44.640064
212974,46.15547
212977,66.37953
212978,59.227818
212979,33.86141
212981,22.330032
212982,43.558525
212983,48.9755
212984,51.130272
212985,56.89758
212986,55.14949
212987,100.25117
212988,40.381393
212989,278.32263
212990,26.512224
212991,22.406843
212993,43.463524
212994,37.438892
212995,39.47743
212996,33.671936
212997,48.93874
212998,47.173622
212999,7.575234
213001,29.969582
213002,17.529297
213006,20.78041
213007,17.623236
213011,47.152054
213012,12.222143
213013,130.08041
213016,21.85824
213017,10.385487
213020,27.739761
213021,147.86813
213022,115.838196
213023,57.79251
213025,65.98048
213026,63.19236
213027,87.92633
213031,91.312325
213032,53.565994
213033,244.90617
213034,26.823225
213035,20.802645
213036,62.817787
213037,72.99068
213038,50.83343
213039,29.642612
213040,51.79704
213041,53.049698
213043,28.068539
213048,133.90475
213049,108.86601
213050,49.014202
213053,73.221214
213054,70.4331
213055,96.93267
213056,46.804615
213059,81.04867
213060,46.936626
213061,231.59407
213064,56.199963
213065,52.485775
213066,48.234676
213068,69.81412
213069,74.34025
213070,34.532078
213072,74.67829
213073,68.06086
213074,42.834316
213076,23.375357
213077,38.113926
213078,48.29548
213079,20.702997
213080,23.755934
213081,30.692928
213082,94.7855
213083,32.926155
213084,207.08923
213085,23.516813
213086,22.518785
213087,41.7626
213088,45.698284
213089,34.539745
213090,45.029636
213091,49.909046
213092,54.435184
213093,3.882377
213094,15.587814
213096,18.258562
213097,41.388
213098,33.641163
213100,6.631747
213101,22.30934
213102,28.85361
213103,21.66481
213105,36.442596
213106,60.200577
213107,20.213818
213108,139.23999
213109,28.038795
213110,29.800573
213111,18.642021
213113,35.060432
213114,39.586575
213115,9.461615
213123,26.144697
213127,70.109245
213128,50.84276
213129,33.60245
213131,30.33098
213132,30.70408
213133,44.240147
213135,61.122536
213136,26.41995
213137,133.75252
213138,18.39965
213140,38.66222
213141,29.650236
213142,39.402813
213145,43.255505
213147,15.534742
213148,65.224976
213149,43.416767
213150,13.399412
213151,25.307707
213152,34.72783
213153,11.647593
213154,69.84204
213155,24.03168
213156,114.28506
213157,26.306541
213158,23.82233
213159,32.597214
213160,39.05087
213161,32.251076
213162,27.238417
213163,40.74574
213164,36.735184
213167,9.056732
213168,20.674276
213169,205.1972
213170,167.24065
213171,92.49418
213174,88.26979
213175,85.4738
213176,108.589294
213179,30.923931
213180,110.64226
213181,60.585693
213182,277.967
213183,44.668095
213187,62.886433
213188,51.937946
213189,141.70332
213191,43.781654
213192,53.486088
213194,33.41942
213195,8.044935
213197,23.00395
213199,11.138733
213200,27.537281
213202,36.17514
213204,66.622055
213205,18.286665
213206,204.98373
213207,20.666288
213208,56.775734
213209,32.487
213215,107.43869
213216,71.53163
213217,51.94316
213219,40.395107
213220,44.851517
213221,70.08135
213225,72.90581
213226,38.132195
213227,224.43842
213230,44.47012
213231,40.38573
213233,41.11618
213235,49.307144
213236,18.421606
213238,113.556274
213239,71.53163
213240,51.94316
213241,52.098335
213242,53.21381
213243,67.457085
213245,72.90581
213246,38.132195
213247,232.72401
213248,27.212915
213249,19.478985
213250,49.825855
213251,48.412193
213252,20.033379
213254,39.602715
213255,49.307144
213256,4.270878
213257,26.984484
213260,15.76433
213265,47.08419
213268,12.3227415
213269,38.431995
213270,32.810722
213273,41.892185
213275,47.98016
213276,35.139763
213278,14.485462
213279,27.730024
213280,59.58464
213281,66.56696
213282,13.359981
213283,53.87981
213285,91.40348
213286,48.86457
213287,170.76645
213288,48.217304
213289,19.665302
213292,44.802864
213293,39.224823
213294,32.81188
213296,55.888103
